"source","target","value","type"
"BBIBP (V3, D14)","SEMA3B",1,"Directed"
"BBIBP (V3, D14)","PYGM",1,"Directed"
"BBIBP (V3, D14)","CCN4",1,"Directed"
"BBIBP (V3, D14)","PDE4C",1,"Directed"
"BBIBP (V3, D14)","FFAR2",-1,"Directed"
"BBIBP (V3, D14)","PPP1R1A",1,"Directed"
"BBIBP (V3, D14)","NDUFAF1",-1,"Directed"
"BBIBP (V3, D14)","FITM1",1,"Directed"
"BBIBP (V3, D14)","ITGB1BP2",1,"Directed"
"BBIBP (V3, D14)","FGD5",1,"Directed"
"BBIBP (V3, D14)","ALOX15",1,"Directed"
"BBIBP (V3, D14)","WNT4",1,"Directed"
"BBIBP (V3, D14)","BNIPL",1,"Directed"
"BBIBP (V3, D14)","GJB7",1,"Directed"
"BBIBP (V3, D14)","TAC4",1,"Directed"
"BBIBP (V3, D14)","SUMO4",1,"Directed"
"BBIBP (V3, D14)","NLRP9",1,"Directed"
"BBIBP (V3, D14)","IDO2",1,"Directed"
"BBIBP (V3, D14)","ASTL",1,"Directed"
"BBIBP (V3, D14)","MSANTD1",1,"Directed"
"BBIBP (V3, D14)","HSPA1A",-1,"Directed"
"BBIBP (V3, D14)","CCL3",-1,"Directed"
"BBIBP (V3, D14)","ADRA2B",1,"Directed"
"BBIBP (V3, D28)","TLL2",1,"Directed"
"BBIBP (V3, D28)","KDELR3",1,"Directed"
"BBIBP (V3, D28)","CXCL8",-1,"Directed"
"BBIBP (V3, D28)","KCNA3",-1,"Directed"
"BBIBP (V3, D28)","HSP90AB4P",1,"Directed"
"BNT (V1, D6)","IFI27",1,"Directed"
"BNT (V1, D6)","RNU1-4",-1,"Directed"
"BNT (V1, D6)","IGLV3-10",1,"Directed"
"BNT (V2, D1)","IFIT1",1,"Directed"
"BNT (V2, D1)","IFIT3",1,"Directed"
"BNT (V2, D1)","SNORA38B",-1,"Directed"
"BNT (V2, D1)","OAS2",1,"Directed"
"BNT (V2, D1)","SNORA49",-1,"Directed"
"BNT (V2, D1)","SNORA54",-1,"Directed"
"BNT (V2, D1)","CIBAR1",1,"Directed"
"BNT (V2, D1)","GPR42",1,"Directed"
"BNT (V2, D1)","TFEC",1,"Directed"
"BNT (V2, D1)","SNORA80D",-1,"Directed"
"BNT (V2, D1)","SNORD15A",1,"Directed"
"BNT (V2, D1)","LRP1B",-1,"Directed"
"BNT (V2, D1)","SNORD67",-1,"Directed"
"BNT (V2, D1)","LRRC26",-1,"Directed"
"BNT (V2, D1)","SNORD89",-1,"Directed"
"BNT (V2, D1)","SNORD9",-1,"Directed"
"BNT (V2, D1)","CLDN10",-1,"Directed"
"BNT (V2, D1)","CLDN4",-1,"Directed"
"BNT (V2, D1)","GRIN3A",1,"Directed"
"BNT (V2, D1)","GRM4",-1,"Directed"
"BNT (V2, D1)","ACOD1",1,"Directed"
"BNT (V2, D1)","FAS",1,"Directed"
"BNT (V2, D1)","GSDMC",1,"Directed"
"BNT (V2, D1)","DNAAF1",1,"Directed"
"BNT (V2, D1)","MT2A",1,"Directed"
"BNT (V2, D1)","CLEC6A",1,"Directed"
"BNT (V2, D1)","RGS9BP",-1,"Directed"
"BNT (V2, D1)","ZBP1",1,"Directed"
"BNT (V2, D1)","LACTB",1,"Directed"
"BNT (V2, D1)","SORT1",1,"Directed"
"BNT (V2, D1)","TIMM10",1,"Directed"
"BNT (V2, D1)","CLXN",-1,"Directed"
"BNT (V2, D1)","BATF2",1,"Directed"
"BNT (V2, D1)","CMPK2",1,"Directed"
"BNT (V2, D1)","ADAM33",-1,"Directed"
"BNT (V2, D1)","SP140",1,"Directed"
"BNT (V2, D1)","SP7",-1,"Directed"
"BNT (V2, D1)","SECTM1",1,"Directed"
"BNT (V2, D1)","MX1",1,"Directed"
"BNT (V2, D1)","IGLV3-12",-1,"Directed"
"BNT (V2, D1)","COL1A1",1,"Directed"
"BNT (V2, D1)","COLEC12",-1,"Directed"
"BNT (V2, D1)","HBG2",-1,"Directed"
"BNT (V2, D1)","HCAR1",1,"Directed"
"BNT (V2, D1)","MAP6",-1,"Directed"
"BNT (V2, D1)","SPP1",-1,"Directed"
"BNT (V2, D1)","IL27",1,"Directed"
"BNT (V2, D1)","AGRN",1,"Directed"
"BNT (V2, D1)","NALF2",-1,"Directed"
"BNT (V2, D1)","MARCO",1,"Directed"
"BNT (V2, D1)","IL31RA",1,"Directed"
"BNT (V2, D1)","IL36A",-1,"Directed"
"BNT (V2, D1)","HELZ2",1,"Directed"
"BNT (V2, D1)","AIM2",1,"Directed"
"BNT (V2, D1)","HERC6",1,"Directed"
"BNT (V2, D1)","HES4",1,"Directed"
"BNT (V2, D1)","HES7",-1,"Directed"
"BNT (V2, D1)","EDNRB",1,"Directed"
"BNT (V2, D1)","BST2",1,"Directed"
"BNT (V2, D1)","PSTPIP2",1,"Directed"
"BNT (V2, D1)","STAT1",1,"Directed"
"BNT (V2, D1)","AMY1B",-1,"Directed"
"BNT (V2, D1)","STAT2",1,"Directed"
"BNT (V2, D1)","IRF1",1,"Directed"
"BNT (V2, D1)","TNFAIP6",1,"Directed"
"BNT (V2, D1)","IRF9",1,"Directed"
"BNT (V2, D1)","ISG20",1,"Directed"
"BNT (V2, D1)","CTSL",1,"Directed"
"BNT (V2, D1)","NEUROD4",1,"Directed"
"BNT (V2, D1)","DDX60",1,"Directed"
"BNT (V2, D1)","STX11",1,"Directed"
"BNT (V2, D1)","ITGB4",-1,"Directed"
"BNT (V2, D1)","CXCL10",1,"Directed"
"BNT (V2, D1)","CXCL11",1,"Directed"
"BNT (V2, D1)","CXCL17",1,"Directed"
"BNT (V2, D1)","CXCL9",1,"Directed"
"BNT (V2, D1)","SV2B",-1,"Directed"
